No,ID,CID,Cation,AID,Anion,T(K),P(bar),Solubility,Method,Reference,IL_ID
1,C02011-A02001,C02011,C4MIm or BMIM,A02001,BF4,303.15,0.608,0.039,Isochoric Saturation Method,1,C02011-A02001
2,C02011-A02001,C02011,C4MIm or BMIM,A02001,BF4,303.15,1.24,0.081,Isochoric Saturation Method,1,C02011-A02001
3,C02011-A02001,C02011,C4MIm or BMIM,A02001,BF4,303.15,1.88,0.12,Isochoric Saturation Method,1,C02011-A02001
4,C02011-A02001,C02011,C4MIm or BMIM,A02001,BF4,303.15,2.93,0.163,Isochoric Saturation Method,1,C02011-A02001
5,C02011-A02001,C02011,C4MIm or BMIM,A02001,BF4,303.15,3.28,0.183,Isochoric Saturation Method,1,C02011-A02001
6,C02011-A02001,C02011,C4MIm or BMIM,A02001,BF4,303.15,4.11,0.228,Isochoric Saturation Method,1,C02011-A02001
7,C02011-A02001,C02011,C4MIm or BMIM,A02001,BF4,303.15,5.24,0.27,Isochoric Saturation Method,1,C02011-A02001
8,C02011-A02001,C02011,C4MIm or BMIM,A02001,BF4,303.15,6.24,0.31,Isochoric Saturation Method,1,C02011-A02001
9,C02011-A02001,C02011,C4MIm or BMIM,A02001,BF4,303.15,7.36,0.354,Isochoric Saturation Method,1,C02011-A02001
10,C02011-A02001,C02011,C4MIm or BMIM,A02001,BF4,313.15,0.718,0.038,Isochoric Saturation Method,1,C02011-A02001
11,C02011-A02001,C02011,C4MIm or BMIM,A02001,BF4,313.15,1.46,0.076,Isochoric Saturation Method,1,C02011-A02001
12,C02011-A02001,C02011,C4MIm or BMIM,A02001,BF4,313.15,2.21,0.111,Isochoric Saturation Method,1,C02011-A02001
13,C02011-A02001,C02011,C4MIm or BMIM,A02001,BF4,313.15,3.46,0.166,Isochoric Saturation Method,1,C02011-A02001
14,C02011-A02001,C02011,C4MIm or BMIM,A02001,BF4,313.15,3.87,0.18,Isochoric Saturation Method,1,C02011-A02001
15,C02011-A02001,C02011,C4MIm or BMIM,A02001,BF4,313.15,4.85,0.22,Isochoric Saturation Method,1,C02011-A02001
16,C02011-A02001,C02011,C4MIm or BMIM,A02001,BF4,313.15,5.68,0.25,Isochoric Saturation Method,1,C02011-A02001
17,C02011-A02001,C02011,C4MIm or BMIM,A02001,BF4,313.15,6.44,0.28,Isochoric Saturation Method,1,C02011-A02001
18,C02011-A02001,C02011,C4MIm or BMIM,A02001,BF4,313.15,7.57,0.32,Isochoric Saturation Method,1,C02011-A02001
19,C02011-A02001,C02011,C4MIm or BMIM,A02001,BF4,323.15,0.838,0.035,Isochoric Saturation Method,1,C02011-A02001
20,C02011-A02001,C02011,C4MIm or BMIM,A02001,BF4,323.15,1.7,0.074,Isochoric Saturation Method,1,C02011-A02001
21,C02011-A02001,C02011,C4MIm or BMIM,A02001,BF4,323.15,2.57,0.11,Isochoric Saturation Method,1,C02011-A02001
22,C02011-A02001,C02011,C4MIm or BMIM,A02001,BF4,323.15,4.01,0.168,Isochoric Saturation Method,1,C02011-A02001
23,C02011-A02001,C02011,C4MIm or BMIM,A02001,BF4,323.15,4.5,0.187,Isochoric Saturation Method,1,C02011-A02001
24,C02011-A02001,C02011,C4MIm or BMIM,A02001,BF4,323.15,5.62,0.225,Isochoric Saturation Method,1,C02011-A02001
25,C02011-A02001,C02011,C4MIm or BMIM,A02001,BF4,323.15,6.13,0.24,Isochoric Saturation Method,1,C02011-A02001
26,C02011-A02001,C02011,C4MIm or BMIM,A02001,BF4,323.15,7.57,0.28,Isochoric Saturation Method,1,C02011-A02001
27,C02011-A02001,C02011,C4MIm or BMIM,A02001,BF4,323.15,8.13,0.303,Isochoric Saturation Method,1,C02011-A02001
28,C02011-A02001,C02011,C4MIm or BMIM,A02001,BF4,333.15,0.968,0.033,Isochoric Saturation Method,1,C02011-A02001
29,C02011-A02001,C02011,C4MIm or BMIM,A02001,BF4,333.15,1.95,0.07,Isochoric Saturation Method,1,C02011-A02001
30,C02011-A02001,C02011,C4MIm or BMIM,A02001,BF4,333.15,2.94,0.105,Isochoric Saturation Method,1,C02011-A02001
31,C02011-A02001,C02011,C4MIm or BMIM,A02001,BF4,333.15,4.59,0.15,Isochoric Saturation Method,1,C02011-A02001
32,C02011-A02001,C02011,C4MIm or BMIM,A02001,BF4,333.15,5.14,0.169,Isochoric Saturation Method,1,C02011-A02001
33,C02011-A02001,C02011,C4MIm or BMIM,A02001,BF4,333.15,6.39,0.201,Isochoric Saturation Method,1,C02011-A02001
